trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,3,-106.89906202867759,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-158.00013249598717,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-131.28684108643344,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-145.4847448106289,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",30,0,-182.48808442313495,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-195.6548392380131,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-133.551002778482,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-125.82743095412371,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-40.95083018975971,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",35,0,-188.87679064128665,"{0: 19, 1: 3, 2: 10, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-221.15245772143206,"{0: 13, 1: 5, 2: 9, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-120.69810759759174,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-185.79162087435515,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-98.57175471242581,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-187.4099764171719,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-255.47861286330686,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 5}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,9,-49.366133593335384,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-133.65343940134275,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-190.03650021359496,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-89.41399910133853,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-102.88459431675685,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-149.53223842190613,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-61.9041542146756,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",30,0,-145.44192283461553,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-130.22562302568122,"{0: 7, 1: 7, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-92.94899805722906,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",30,5,-78.52539214281047,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,11,-34.610735785254676,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,13,-20.68472518052449,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-88.09393709316124,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-112.24306629905344,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-170.1800103563519,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",30,0,-198.0797223710396,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-159.44704928946612,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-208.36714405939247,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-63.588439849476096,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-115.29663585981825,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-61.712628955714045,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-180.45610025226318,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,2,-199.5436371506516,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 4}",1
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-81.04452340213348,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-63.31348178438328,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-110.16714015182319,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,0,-100.13409013233343,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,11,-10.880367211330423,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",30,0,-4.97818191821131,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,0,-187.4222435932249,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-120.7745798291746,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-91.84137501951967,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-82.88623290567891,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-149.11464060769495,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,5,-56.49226754606475,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-78.57957521767837,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,10,-149.69387787131458,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,0,-132.203772539007,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",30,0,-86.17198991984634,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-60.95959850737516,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,11,-25.66790064211336,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,0,-118.03583510559882,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-89.30220666759939,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-68.99101435056657,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,15,7.212228585700542,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,3,-143.07643356802535,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 2}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,12,-1.788024560542533,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,11,-26.92100117038776,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-143.09430358248053,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,2,-45.656397711843766,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-73.00541135387792,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-48.45891514808361,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-140.7071822409268,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
