trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.03926215198678,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.21502630677864,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.5110192424374,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.09102308695665,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.97562221552845,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.78822010743836,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,5,-16.938046406182593,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.92535659958534,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.35490244646535,"{0: 16, 1: 7, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.53919954076814,"{0: 7, 1: 6, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.5274247309703,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.66113204710769,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.44007272568724,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.43669463817673,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.9751382832433,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.03917261779173,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.73925674198725,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.19506076870378,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.01883487061873,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.57488122704927,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.13583684269052,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.73732696602568,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-46.488208621978764,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.900982724751493,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.9217154953498,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.260787905121,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.25041720022773,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-98.8891034895732,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.40120773777709,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,8,-88.58205041698288,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
